ai-config-manager	windows-x86_64	aimgr_3.9.0_windows_amd64.zip	aimgr
alist	freebsd-aarch64	alist-freebsd-arm64.tar.gz	freebsd
alist	freebsd-x86_64	alist-freebsd-amd64.tar.gz	freebsd
alist	linux-aarch64	alist-android-arm64.tar.gz	android
alist	linux-aarch64	alist-linux-arm64.tar.gz	
alist	linux-aarch64-musl	alist-linux-musl-arm64.tar.gz	
alist	linux-armv7	alist-linux-arm-5.tar.gz	arm-5
alist	linux-armv7	alist-linux-arm-6.tar.gz	arm-6
alist	linux-armv7	alist-linux-arm-7.tar.gz	arm-7
alist	linux-armv7-musl	alist-linux-musleabi-arm.tar.gz	musleabi-arm
alist	linux-armv7-musl	alist-linux-musleabi-armel.tar.gz	musleabi-armel
alist	linux-armv7-musl	alist-linux-musleabi-armv5l.tar.gz	musleabi-armv5l
alist	linux-armv7-musl	alist-linux-musleabi-armv6.tar.gz	musleabi-armv6
alist	linux-armv7-musl	alist-linux-musleabi-armv7m.tar.gz	musleabi-armv7m
alist	linux-armv7-musl	alist-linux-musleabihf-arm.tar.gz	musleabihf-arm
alist	linux-armv7-musl	alist-linux-musleabihf-armel.tar.gz	musleabihf-armel
alist	linux-armv7-musl	alist-linux-musleabihf-armv5l.tar.gz	musleabihf-armv5l
alist	linux-armv7-musl	alist-linux-musleabihf-armv6.tar.gz	musleabihf-armv6
alist	linux-armv7-musl	alist-linux-musleabihf-armv7l.tar.gz	musleabihf-armv7l
alist	linux-armv7-musl	alist-linux-musleabihf-armv7r.tar.gz	musleabihf-armv7r
alist	linux-i686	alist-android-386.tar.gz	android-386
alist	linux-i686	alist-linux-386.tar.gz	386
alist	linux-x86_64	alist-android-amd64.tar.gz	android
alist	linux-x86_64	alist-linux-amd64.tar.gz	
alist	linux-x86_64-musl	alist-linux-musl-amd64.tar.gz	
alist	macos-aarch64	alist-darwin-arm64.tar.gz	
alist	macos-x86_64	alist-darwin-amd64.tar.gz	
alist	windows-aarch64	alist-windows-arm64.zip	
alist	windows-i686	alist-windows-386.zip	386
alist	windows-x86_64	alist-windows-amd64-upx.zip	upx
alist	windows-x86_64	alist-windows-amd64.zip	
antigravity-cli	linux-aarch64	agy_cli_linux_arm64.tar.gz	agy-cli
antigravity-cli	linux-x86_64	agy_cli_linux_x64.tar.gz	agy-cli
antigravity-cli	macos-aarch64	agy_cli_mac_arm64.tar.gz	agy-cli
antigravity-cli	macos-x86_64	agy_cli_mac_x64.tar.gz	agy-cli
antigravity-cli	windows-aarch64	agy_cli_windows_arm64.zip	agy-cli
antigravity-cli	windows-x86_64	agy_cli_windows_x64.zip	agy-cli
aria2	linux-aarch64	aria2-1.37.0-aarch64-linux-android-build1.zip	android-build1
